FechaInicio,Prestamo,Fichas,Monto por ficha,MontoPendiente,Dias de atraso,Atraso,EmpleadoID,Monto Préstamo
11/10/2023,156755,16,3269.6695,2657.704,0,1898.36,28268,"$44,185"
17/10/2023,157763,16,8358.9,4519.55,0,0,25068,"$119,413"
11/10/2023,157939,16,16939.803,18491.662,7,13208.33,28337,"$238,589"
16/10/2023,158050,16,10465.2,8618.4,0,0,27689,"$145,350"
12/10/2023,158192,16,10658.9235,8763.342,0,0,22990,"$146,013"
11/10/2023,158195,16,11046.6,36388.8,21,25992,28221,"$151,323"
11/10/2023,158250,16,6005.2075,14832.44,14,10594.6,27340,"$85,789"
16/10/2023,158343,16,7558.1405,4540.816,0,0,27250,"$103,536"
11/10/2023,158390,16,3803.325,512.4,0,366,27801,"$54,333"
11/10/2023,158403,16,17595.1105,43884.834,21,31346.31,24186,"$247,818"
11/10/2023,158413,16,8299.6125,6834.898,0,4882.07,24396,"$116,896"
13/10/2023,158423,16,8527.1405,5084.016,0,0,19598,"$118,433"
11/10/2023,158434,16,5137.791,3937.052,0,2812.18,28023,"$72,363"
13/10/2023,158443,16,21624.595,17185.84,0,0,25150,"$292,224"
11/10/2023,158449,16,3069.333,5246.276,14,3747.34,28350,"$43,230"
11/10/2023,158454,16,12403.098,9357.656,0,6684.04,24952,"$167,609"
11/10/2023,158470,16,5137.791,8156.33,7,5825.95,24375,"$69,430"
11/10/2023,158472,16,9819.1065,26887.168,21,19205.12,24586,"$138,297"
13/10/2023,158473,16,8119.8375,6684.3,0,0,21542,"$112,776"
11/10/2023,158484,16,5671.591,17999.73,21,12856.95,27796,"$76,643"
11/10/2023,158487,16,8010.349,26763.828,28,19117.02,24694,"$111,255"
11/10/2023,158496,16,9463.0585,11832.212,0,0,26504,"$135,187"
12/10/2023,158517,16,6524.549,2698.528,0,0,24903,"$93,208"
11/10/2023,158519,16,5671.574,4515.728,0,3225.52,20771,"$81,022"
11/10/2023,158525,16,3779.066,13386.352,28,9561.68,27711,"$51,768"
12/10/2023,158535,16,28284.6,23293.2,0,0,24634,"$387,460"
11/10/2023,158537,16,10271.3405,37783.312,28,26988.08,28178,"$138,802"
11/10/2023,158538,16,6647.8755,2672.936,0,1909.24,20780,"$92,332"
13/10/2023,158539,16,5271.2495,11674.278,12,5238.035,27340,"$75,304"
11/10/2023,158541,16,10852.715,19434.38,14,13881.7,19547,"$148,667"
11/10/2023,158543,16,5938.474,4262.328,0,3044.52,27606,"$82,479"
11/10/2023,158545,16,8591.715,2043.58,0,1459.7,21482,"$119,329"
